Natural Language,Ground Truth,Atomic Proposition,AST
it is always the case that x1 is true and always x2 is true until x1 is true and eventually x2 remain true,G(x1 & (G(x2) U x1) & F(x2)),"x1 : x1 , x2 : x2","Always(LAnd(LAnd(AtomicProposition(""x1""),Until(Always(AtomicProposition(""x2"")), AtomicProposition(""x1""))),Eventually(AtomicProposition(""x2""))))"
it is always the case that x1 is true and x2 us false and eventaully x3 is true,G(x1& !x2) & F(x3),"x1 : x1 , x2 : x2, x3 : x3","LAnd(Always(LAnd(AtomicProposition(""x1""),Not(AtomicProposition(""x2"")))),Eventually(AtomicProposition(""x3"")))"
it is always the case that eventually if x1 is true then eventually always x1 will be true,G(F(x1)) -> F(G(x1)),x1 : x1,"LImplies(Always(Eventually(AtomicProposition(""x1""))),Eventually(Always(AtomicProposition(""x1""))))"
if x1 is true and x2 is false then eventually x1 is false until x2 happens,x1 & !x2 -> F(!x1 U x2 ),"x1 : x1 , x2 : x2","LImplies(LAnd(AtomicProposition(""x1""),Not(AtomicProposition(""x2""))),Eventually(Until(Not(AtomicProposition(""x1"")), AtomicProposition(""x2""))))"
if eventually x1 and 2 is true then always if x1 is true then x2 is true and if x2 is true then x1 is true,(F(x1) & F(x2)) -> G(x1 -> x2 & x2 -> x1),"x1 : x1 , x2 : x2","LImplies(LAnd(Eventually(AtomicProposition(""x1"")),Eventually(AtomicProposition(""x2""))),Always(LImplies(AtomicProposition(""x1""),LImplies(LAnd(AtomicProposition(""x2""),AtomicProposition(""x2"")),AtomicProposition(""x1"")))))"
it is not the case that always x1 is true until always x1 is false,!(G(x1)) U G(!x1),x1 : x1,"Until(Not(Always(AtomicProposition(""x1""))), Always(Not(AtomicProposition(""x1""))))"
eventually if x1 is true then always x1 is true until x1 is false,F(x1) -> G(x1 U !x1),x1 : x1,"LImplies(Eventually(AtomicProposition(""x1"")),Always(Until(AtomicProposition(""x1""), Not(AtomicProposition(""x1"")))))"
it is always the case that if x1 is true then in the next state x1 is false and if x1 is false then in the next state x1 will be true,G((x1 -> X(!x1)) & (!x1 -> X(x1))),x1 : x1,"Always(LAnd(LImplies(AtomicProposition(""x1""),Next(Not(AtomicProposition(""x1"")))),LImplies(Not(AtomicProposition(""x1"")),Next(AtomicProposition(""x1"")))))"
it is always the case thate eventually in the next state x1 will be true,G(F(X(x1))),x1 : x1,"Always(Eventually(Next(AtomicProposition(""x1""))))"
it is always the caswe that x1 is true and it is always the caswe that x1 is false,G(x1) & G(!x1),x1 : x1,"LAnd(Always(AtomicProposition(""x1"")),Always(Not(AtomicProposition(""x1""))))"
if the state after the next state x1 is true then in the next state x1 is true,X(X(x1))->X(x1),x1 : x1,"LImplies(Next(Next(AtomicProposition(""x1""))),Next(AtomicProposition(""x1"")))"
eventually x1 is true and it is always the case that x1 is false,F(x1 & G(!x1)),x1 : x1,"Eventually(LAnd(AtomicProposition(""x1""),Always(Not(AtomicProposition(""x1"")))))"
it is always the case that eventually x2 is true until in the next state x1 is true,G(F(x2) U X(x1)),"x1 : x1 , x2 : x2","Always(Until(Eventually(AtomicProposition(""x2"")), Next(AtomicProposition(""x1""))))"
"in the next state, it is always the case that if x1 is true then eventually x1 is true",X(G(x1)) -> F(x1),x1 : x1,"LImplies(Next(Always(AtomicProposition(""x1""))),Eventually(AtomicProposition(""x1"")))"
x3 is true until x1 is true or x3 is always true and eventually x2 is true,x3 U ((x1 | G(x3)) & F(x2)),"x1 : x1 , x2 : x2, x3 : x3","Until(AtomicProposition(""x3""), LAnd(LOr(AtomicProposition(""x1""),Always(AtomicProposition(""x3""))),Eventually(AtomicProposition(""x2""))))"
"if x1 is true, x1 must be true in the next state",x1 -> X(x1),x1 : x1,"LImplies(AtomicProposition(""x1""),Next(AtomicProposition(""x1"")))"
eventually it is always the case that if x1 is true then in the next state x1 and in the state after the states x1 is false and always if x1 is false then in the next state x1 is false and then state after the next state is true,F(G(x1 -> X(x1) & X(X(!x1))) & G(!x1->X(!x1) & X(X(x1)))),x1 : x1,"Eventually(LAnd(Always(LImplies(AtomicProposition(""x1""),LAnd(Next(AtomicProposition(""x1"")),Next(Next(Not(AtomicProposition(""x1""))))))),Always(LImplies(Not(AtomicProposition(""x1"")),LAnd(Next(Not(AtomicProposition(""x1""))),Next(Next(AtomicProposition(""x1""))))))))"
if x1 is true then it is always the case the x2 is false and eventually x1 is false until x1 is true,(x1 -> G(!x2 & F(!x1 U x1))),"x1 : x1 , x2 : x2","LImplies(AtomicProposition(""x1""),Always(LAnd(Not(AtomicProposition(""x2"")),Eventually(Until(Not(AtomicProposition(""x1"")), AtomicProposition(""x1""))))))"
it is always the case that x1 is true until x1 is flase and x1 is false until x1 is true,G(x1 U !x1 & !x1 U x1),x1 : x1,"Always(LAnd(Until(AtomicProposition(""x1""), Not(AtomicProposition(""x1""))),Until(Not(AtomicProposition(""x1"")), AtomicProposition(""x1""))))"
eventually x1 is true if and only if in the next state x2 is false or it is always the case that x2 is true,F((x1 <-> X(!x2)) | G(x2)),"x1 : x1 , x2 : x2","Eventually(LOr(LEquiv(AtomicProposition(""x1""),Next(Not(AtomicProposition(""x2"")))),Always(AtomicProposition(""x2""))))"
it is always the case that if x2 is true and then it is not the case that eventually x1 is true and if x3 is true then it is not the case that eventually x2 is true,G(x2 -> !F(x1) & x3 -> !F(x2)),"x1 : x1 , x2 : x2, x3 : x3","Always(LImplies(AtomicProposition(""x2""),LImplies(LAnd(Not(Eventually(AtomicProposition(""x1""))),AtomicProposition(""x3"")),Not(Eventually(AtomicProposition(""x2""))))))"
eventually it is always the case that x1 is true until x2 is true,F(G(x1 U x2)),"x1 : x1 , x2 : x2","Eventually(Always(Until(AtomicProposition(""x1""), AtomicProposition(""x2""))))"
if x1 and x2 are true then in the next state x3 is true and in the state after the next state x3 is false,(x1 & x2) -> (X(x3) & X(X(!x3))),"x1 : x1 , x2 : x2, x3 : x3","LImplies(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")),LAnd(Next(AtomicProposition(""x3"")),Next(Next(Not(AtomicProposition(""x3""))))))"
if x1 is true then in the next state x1 is true and if in the next state x1 is true then it is the case that in the state after the next state x1 is true,(x1 -> X(x1)) & (X(x1) -> X(X(x1))),x1 : x1,"LAnd(LImplies(AtomicProposition(""x1""),Next(AtomicProposition(""x1""))),LImplies(Next(AtomicProposition(""x1"")),Next(Next(AtomicProposition(""x1"")))))"
if x1 is true then eventually x2 is true until x1 is false,x1 -> F(x2 U !x1),x1 : x1,"LImplies(AtomicProposition(""x1""),Eventually(Until(AtomicProposition(""x2""), Not(AtomicProposition(""x1"")))))"
if the state after the next state after the next state x1 is true then eventually x2 is false and x3 is true,X(X(X(x1))) -> (F(!x2) & x3),"x1 : x1 , x2 : x2, x3 : x3","LImplies(Next(Next(Next(AtomicProposition(""x1"")))),LAnd(Eventually(Not(AtomicProposition(""x2""))),AtomicProposition(""x3"")))"
it is always the case that x1 is true until x2 isn true and it is always the case that x1 and x2 are false,G(x1 U x2) & G(!(x1 & x2)),"x1 : x1 , x2 : x2","LAnd(Always(Until(AtomicProposition(""x1""), AtomicProposition(""x2""))),Always(Not(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")))))"
it is always the case that eventually the state after the next state after the next state x1is true,G(F(X(X(X(x1))))),x1 : x1,"Always(Eventually(Next(Next(Next(AtomicProposition(""x1""))))))"
it is always the case that if x1 is true then x2 is false and if x2 is tue then x1 is false,G((x1 -> ! x2) & (x2 -> ! x1)),"x1 : x1 , x2 : x2","Always(LAnd(LImplies(AtomicProposition(""x1""),Not(AtomicProposition(""x2""))),LImplies(AtomicProposition(""x2""),Not(AtomicProposition(""x1"")))))"
it is always the case that if the state after the next state after the next state x1 is true then x2 is true,G(X(X(X(x1))) -> x2),"x1 : x1 , x2 : x2","Always(LImplies(Next(Next(Next(AtomicProposition(""x1"")))),AtomicProposition(""x2"")))"
"eventually, it is always the case that x1 is eventually true",F(G(F(x1))),x1 : x1,"Eventually(Always(Eventually(AtomicProposition(""x1""))))"
it is always the case that if in the next state x1 is false then x1 is true,G(X(!x1) -> x1),x1 : x1,"Always(LImplies(Next(Not(AtomicProposition(""x1""))),AtomicProposition(""x1"")))"
it is always the case that if x1 is true then x2 is false and x3 is false and it is always the case that if x2 or x3 is true then x1 is false,G(x1->!x2 & !x3) & G(x2 | x3 -> !x1),"x1 : x1 , x2 : x2, x3 : x3","LAnd(Always(LImplies(AtomicProposition(""x1""),LAnd(Not(AtomicProposition(""x2"")),Not(AtomicProposition(""x3""))))),Always(LImplies(LOr(AtomicProposition(""x2""),AtomicProposition(""x3"")),Not(AtomicProposition(""x1"")))))"
it is always the case that if x1 is true then in the next state x2 is true and in the state after the next state x3 is false,G(x1 -> (X(x2) & X(X(!x3)))),"x1 : x1 , x2 : x2, x3 : x3","Always(LImplies(AtomicProposition(""x1""),LAnd(Next(AtomicProposition(""x2"")),Next(Next(Not(AtomicProposition(""x3"")))))))"
it is always the case that if eventually x1 is true then in the next state x1 is false and if x2 is true then x2 is false,G(F(x1 -> X(!x1)) & x2 -> !x2),"x1 : x1 , x2 : x2","Always(LImplies(LAnd(Eventually(LImplies(AtomicProposition(""x1""),Next(Not(AtomicProposition(""x1""))))),AtomicProposition(""x2"")),Not(AtomicProposition(""x2""))))"
it is always the case that is x1 is false then it is always the case that x1 is true or eventually x2 is true,G(!x1) -> (G(x1) | F(x2)),"x1 : x1 , x2 : x2","LImplies(Always(Not(AtomicProposition(""x1""))),LOr(Always(AtomicProposition(""x1"")),Eventually(AtomicProposition(""x2""))))"
it is always the case that if x1 is always true then eventually x2 is true,G(G(x1) -> F(x2)),"x1 : x1 , x2 : x2","Always(LImplies(Always(AtomicProposition(""x1"")),Eventually(AtomicProposition(""x2""))))"
x1 is true until x2 happens to be true or it is always the case that if x1 is true then in the next state x1 is false,(x1 U x2) | G(x1 -> X(!x1)),"x1 : x1 , x2 : x2","LOr(Until(AtomicProposition(""x1""), AtomicProposition(""x2"")),Always(LImplies(AtomicProposition(""x1""),Next(Not(AtomicProposition(""x1""))))))"
is it always the case that in the next state x1 is true and eventually if x1 is true then x2 is true,G(X(x1) & F(x1 -> x2)),"x1 : x1 , x2 : x2","Always(LAnd(Next(AtomicProposition(""x1"")),Eventually(LImplies(AtomicProposition(""x1""),AtomicProposition(""x2"")))))"
if in the next state x1 is false until x1 is true then eventually x1 is false,X(!x1 U x1) -> F(!x1),x1 : x1,"LImplies(Next(Until(Not(AtomicProposition(""x1"")), AtomicProposition(""x1""))),Eventually(Not(AtomicProposition(""x1""))))"
if eventually x2 and x1 is true then x1 is true until x2 happens to be true or in the next state x2 is true,F(x2 & x1) -> (x1 U x2) | (X(x2)),"x1 : x1 , x2 : x2","LImplies(Eventually(LAnd(AtomicProposition(""x2""),AtomicProposition(""x1""))),LOr(Until(AtomicProposition(""x1""), AtomicProposition(""x2"")),Next(AtomicProposition(""x2""))))"
if x1 is true then eventually it is always the case that in the next state x1 is true,x1 -> F(G(x1)),x1 : x1,"LImplies(AtomicProposition(""x1""),Eventually(Always(AtomicProposition(""x1""))))"
"if eventually x1,x2 and x3 is true then x4 is true and if it is not the case that eventually x1,x2 and x3 is true then x4 is false",((F(x1) & F(x2) & F(x3)) -> x4) & (!F(x1) | !F(x2) | !F(x3) -> !x4),"x1 : x1 , x2 : x2, x3 : x3, x4: x4","LAnd(LImplies(LAnd(LAnd(Eventually(AtomicProposition(""x1"")),Eventually(AtomicProposition(""x2""))),Eventually(AtomicProposition(""x3""))),AtomicProposition(""x4"")),LImplies(LOr(LOr(Not(Eventually(AtomicProposition(""x1""))),Not(Eventually(AtomicProposition(""x2"")))),Not(Eventually(AtomicProposition(""x3"")))),Not(AtomicProposition(""x4""))))"
it is always the case that if x1 is false then x2 is false and if x2 is false then x1 is false. and eventually x1 and x2 are true,G(((!x1) -> (!x2)) & ((!x2)->(!x1))) & F(x1 & x2),"x1 : x1 , x2 : x2","LAnd(Always(LAnd(LImplies(Not(AtomicProposition(""x1"")),Not(AtomicProposition(""x2""))),LImplies(Not(AtomicProposition(""x2"")),Not(AtomicProposition(""x1""))))),Eventually(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))))"
in the next state if x1 is true then in the state after the next state after the next state x2 is true,X(x1)->X(X(X(x2))),"x1 : x1 , x2 : x2","LImplies(Next(AtomicProposition(""x1"")),Next(Next(Next(AtomicProposition(""x2"")))))"
it is always the case that x1 is true and x2 is false and if x1 is true x2 cannot be true in the same state then it is always the case that x2 is false,G(x1 & !x2),"x1 : x1 , x2 : x2","Always(LAnd(AtomicProposition(""x1""),Not(AtomicProposition(""x2""))))"
eventually it is always the case that x1 is true or it is always the case that eventually x1 is true,F(G(x1)) | G(F(x1)),x1 : x1,"LOr(Eventually(Always(AtomicProposition(""x1""))),Always(Eventually(AtomicProposition(""x1""))))"
if x1 is true then eventually x1 is false and if x1 is false then eventually x1 is true,x1 -> F(!x1) & !x1 -> F(x1),x1 : x1,"LImplies(AtomicProposition(""x1""),LImplies(LAnd(Eventually(Not(AtomicProposition(""x1""))),Not(AtomicProposition(""x1""))),Eventually(AtomicProposition(""x1""))))"
x1 is true if and only if x2 is true until it is the case that x1 is until x3 is true,(x1 <-> x2) U (x1 U x3),"x1 : x1 , x2 : x2, x3 : x3","Until(LEquiv(AtomicProposition(""x1""),AtomicProposition(""x2"")), Until(AtomicProposition(""x1""), AtomicProposition(""x3"")))"
it is always the case that x1 and x2 are false and it is always the case that x1 or x2 is true,G(!(x1 & x2)) & G(x1 | x2),"x1 : x1 , x2 : x2","LAnd(Always(Not(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")))),Always(LOr(AtomicProposition(""x1""),AtomicProposition(""x2""))))"
it is always the case that x1 or x2 is true and in the next state it is always the case that x2 is true,G(x1 | x2) & X(G(x2)),"x1 : x1 , x2 : x2","LAnd(Always(LOr(AtomicProposition(""x1""),AtomicProposition(""x2""))),Next(Always(AtomicProposition(""x2""))))"
if it is always the case that x1 is false and in the next state x1 is true then in the next state eventually x2 is true,G((!x1 & X(x1)) -> X(F(x2))),"x1 : x1 , x2 : x2","Always(LImplies(LAnd(Not(AtomicProposition(""x1"")),Next(AtomicProposition(""x1""))),Next(Eventually(AtomicProposition(""x2"")))))"
it is always the case that eventually x1 is true or eventually x2 is true,G(F(x1) | F(x2)),"x1 : x1 , x2 : x2","Always(LOr(Eventually(AtomicProposition(""x1"")),Eventually(AtomicProposition(""x2""))))"
if x1 is true then in the next state x1 is false and eventually x2 is true,x1 -> X(!x1) & F(x2),"x1 : x1 , x2 : x2","LImplies(AtomicProposition(""x1""),LAnd(Next(Not(AtomicProposition(""x1""))),Eventually(AtomicProposition(""x2""))))"
if eventually x1 is true then it is always the case that x1 is true,F(x1) -> G(x1),x1 : x1,"LImplies(Eventually(AtomicProposition(""x1"")),Always(AtomicProposition(""x1"")))"
it is always the case that eventually if x1 is true then in the next state x2 is true until x3 is false,G(F(x1 -> X(x2 U !x3))),"x1 : x1 , x2 : x2, x3 : x3","Always(Eventually(LImplies(AtomicProposition(""x1""),Next(Until(AtomicProposition(""x2""), Not(AtomicProposition(""x3"")))))))"
it is always the case that eventually if x1 is true then x1 is false,G(F(x1 -> !x1)),x1 : x1,"Always(Eventually(LImplies(AtomicProposition(""x1""),Not(AtomicProposition(""x1"")))))"
it is always the case that eventually it is always the case that x1 is true and eventually it is always the case that eventually x2 is true,G(F(G(x1))) & F(G(F(x2))),"x1 : x1 , x2 : x2","LAnd(Always(Eventually(Always(AtomicProposition(""x1"")))),Eventually(Always(Eventually(AtomicProposition(""x2"")))))"
"if Red is initially lit, then it is also lit after three steps",x1 -> X(X(X(x1))),"“red"" : x1","LImplies(AtomicProposition(""x1""),Next(Next(Next(AtomicProposition(""x1"")))))"
Red is lit after 3 or more steps,X(X(F(X(x1)))),"“red"" : x1","Next(Next(Eventually(Next(AtomicProposition(""x1"")))))"
if Red is eventually lit then Blue is always lit,F(x1) -> G(x2),"“red” : x1, “blue” : x2","LImplies(Eventually(AtomicProposition(""x1"")),Always(AtomicProposition(""x2"")))"
"if Red is initially lit, then it is also lit after three steps",x1 -> X(X(X(x1))),“red” : x1,"LImplies(AtomicProposition(""x1""),Next(Next(Next(AtomicProposition(""x1"")))))"
Blue is eventually lit and Red is always lit,(x1 U x2) & G(x1),"“red” : x1, “blue” : x2","LAnd(Until(AtomicProposition(""x1""), AtomicProposition(""x2"")),Always(AtomicProposition(""x1"")))"
"whenever Red is lit, it turns off in the next state and on again in the state after that",G(x1 -> (X(!x1) & X(X(x1)))),“red” : x1,"Always(LImplies(AtomicProposition(""x1""),LAnd(Next(Not(AtomicProposition(""x1""))),Next(Next(AtomicProposition(""x1""))))))"
"If the engine is on, the engine will be on 3 states from now",x1 -> X(X(X(x1))),"""Engine on” : x1","LImplies(AtomicProposition(""x1""),Next(Next(Next(AtomicProposition(""x1"")))))"
"After two states have passed, eventually the Engine after these the next state will be on.",X(X(F(X(x1)))),"""Engine on” : x1","Next(Next(Eventually(Next(AtomicProposition(""x1"")))))"
"If the engine eventually turns on, then the light is always on.",(F(x1)) -> (G(x2)),"""Engine on” : x1, “blue"" : x2","LImplies(Eventually(AtomicProposition(""x1"")),Always(AtomicProposition(""x2"")))"
"the engine will be on until the light turns on, and the engine is always on",((x1) U (x2)) & G(x1),"""Engine on” : x1, ""Light on” : x2","LAnd(Until(AtomicProposition(""x1""), AtomicProposition(""x2"")),Always(AtomicProposition(""x1"")))"
"If the engine is on, then in the next state the engine is not on and two states later it turns back on.",G(x1 -> (X(!x1 ) & X(X(x1)))),"""Engine on” : x1","Always(LImplies(AtomicProposition(""x1""),LAnd(Next(Not(AtomicProposition(""x1""))),Next(Next(AtomicProposition(""x1""))))))"
