Model,Approach,Natural Language,Atomic Proposition,Ground Truth,Initial Response,Refined Response,Estimated Cost
gemini-1.5-flash,few_shot,"For a while, it was never the case that x1 was true and x2 was false at the same time, but before a certain point, x2 will previously historically be true.","x1: x1, x2: x2",O(H(!(x1 & !x2)) & H(x2)),"```python
formulaToFind = Historically(LImplies(Literal(""True""), LNot(LAnd(AtomicProposition(""x1""), LNot(AtomicProposition(""x2""))))))
```",,7987
gemini-1.5-flash,few_shot,"If x1 was true, then x2 must have just transitioned from true to false.","x1: x1, x2: x2",H(x1 -> Y(x2 & !x2)),"```python
formulaToFind = LImplies(Yesterday(AtomicProposition(name='x1')), LAnd(Yesterday(AtomicProposition(name='x2')), LNot(AtomicProposition(name='x2'))))
```",,7928
gemini-1.5-flash,few_shot,x1 starts true and was true exactly every third state.,x1: x1,x1 & H(Y(Y(Y(x1)))) & H(!x1 & !Y(x1) & !Y(Y(x1))),"```python
formulaToFind = LAnd(AtomicProposition(name='x1'), Historically(LAnd(AtomicProposition(name='x1'), LAnd(LNot(AtomicProposition(name='x1')), LNot(AtomicProposition(name='x1'))))))
```",,7933
gemini-1.5-flash,few_shot,Trace of x1 was repeated with a period of 5 (x1 at time t+5 will historically be x1 at t).,x1: x1,H(x1 <-> Y(Y(Y(Y(Y(x1)))))),"```python
formulaToFind = Historically(LImplies(AtomicProposition(""x1""), Yesterday(Yesterday(Yesterday(Yesterday(Yesterday(AtomicProposition(""x1""))))))))
```",,7934
gemini-1.5-flash,few_shot,"If x1 was true two times in a row, it was never true again.",x1: x1,H((x1 & Y(x1)) -> H(!x1)),"```python
formulaToFind = LImplies(LAnd(Yesterday(AtomicProposition(""x1"")), AtomicProposition(""x1"")), Historically(LNot(AtomicProposition(""x1""))))

```",,7897
gemini-1.5-flash,few_shot,x2 historically held if x1 and x3 do not held.,"x1: x1, x2: x2, x3: x3",H((!x1 & !x3) -> x2),"```python
formulaToFind = Historically(LNot(LAnd(AtomicProposition(""x1""), AtomicProposition(""x3""))))
```",,7853
gemini-1.5-flash,few_shot,x1 was true exactly twice.,x1: x1,O(x1) & O(Y(x1)) & H(!Y(Y(x1))),"```python
formulaToFind = LAnd(Once(LAnd(AtomicProposition(""x1""), LNot(Historically(AtomicProposition(""x1""))))), Once(LAnd(AtomicProposition(""x1""), LNot(Historically(AtomicProposition(""x1""))))))
```",,7911
gemini-1.5-flash,few_shot,"x1 will historically be true if x2 was false, unless x3 was also true.","x1: x1, x2: x2, x3: x3",H((!x2 & !x3) -> x1),"```python
from dataclasses import dataclass
from typing import *

class Formula:
    pass

@dataclass
class AtomicProposition(Formula):
    name : str

@dataclass
class Literal(Formula):
    name : str

@dataclass
class LNot(Formula):
    Formula: Formula

@dataclass
class LAnd(Formula):
    left: Formula
    right: Formula

@dataclass
class LOr(Formula):
    left: Formula
    right: Formula

@dataclass
class LImplies(Formula):
    left: Formula
    right: Formula

@dataclass
class LEquiv(Formula):
    left: Formula
    right: Formula    

@dataclass
class Since(Formula):
    a : Formula
    b : Formula

@dataclass
class Once(Formula):
    Formula: Formula

@dataclass
class Historically(Formula):
    Formula: Formula

@dataclass
class Yesterday(Formula):
    Formula: Formula


FormulaType = Union[AtomicProposition, Literal, LNot, LAnd, LOr, LImplies, LEquiv, Since, Once, Historically, Yesterday]    

type varToValMapping = tuple[str, bool]
type state = list[varToValMapping]
type trace = list[state]

class OptionType:
    pass

@dataclass
class ReallyNone(OptionType):
    pass

@dataclass
class Some(OptionType):
    value: bool

myOptionType = Union[ReallyNone, Some]  

def isPropositionTrueInTracePosition(p : AtomicProposition, t: trace, pos: int) -> myOptionType:
    if pos < 0 or pos >= len(t):
        return ReallyNone()
    state_at_pos = t[pos]
    for var, val in state_at_pos:
        if var == p.name:
            return Some(val)
    return ReallyNone()

def evalFormula(f : Formula, t: trace, pos: int) -> myOptionType:
    match f:
        case AtomicProposition(name):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            return isPropositionTrueInTracePosition(f, t, pos)
        case Literal(name):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            if name == ""True"":
                return Some(True)
            elif name == ""False"":
                return Some(False)
            else:
                return ReallyNone()
        case LNot(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            inner_eval = evalFormula(inner, t, pos)
            match inner_eval:
                case Some(val):
                    return Some(not val)
                case ReallyNone():
                    return ReallyNone()
        case LAnd(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some(lval and rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case LOr(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some(lval or rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case LImplies(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some((not lval) or rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case LEquiv(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some(lval == rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case Since(a, b):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            foundB = False
            i = pos
            while i >= 0 :
                eval_result = evalFormula(b, t, i)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and eval_result.value:
                    foundB = True
                    break
                i -= 1
            if not foundB:
                return Some(False)
            j = i + 1
            while j <= pos:  
                eval_result = evalFormula(a, t, j)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and not eval_result.value:
                    return Some(False)
                j += 1      
            return Some(True)    
        case Once(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            for i in range(0, pos+1):
                eval_result = evalFormula(inner, t, i)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and eval_result.value:
                    return Some(True)
            return Some(False)
        case Historically(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            for i in range(0, pos+1):
                eval_result = evalFormula(inner, t, i)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and not eval_result.value:
                    return Some(False)
            return Some(True)
        case Yesterday(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            if pos >= 1:
                return evalFormula(inner, t, pos - 1)
            else:
                return Some(False)
        case _:
            return ReallyNone()

formulaToFind = LImplies(LNot(AtomicProposition(""x3"")), Historically(LImplies(LNot(AtomicProposition(""x2"")), AtomicProposition(""x1""))))

traceGivenAsInput = [([('x1', True), ('x2', False), ('x3', False)],),([('x1', True), ('x2', False), ('x3', False)],),([('x1', True), ('x2', True), ('x3', False)],)]
eval_result = evalFormula(formulaToFind, traceGivenAsInput, 2)
print(""TRUE"" if isinstance(eval_result, Some) and eval_result.value else ""FALSE"")

traceGivenAsInput = [([('x1', True), ('x2', False), ('x3', True)],),([('x1', True), ('x2', False), ('x3', True)],),([('x1', True), ('x2', True), ('x3', True)],)]
eval_result = evalFormula(formulaToFind, traceGivenAsInput, 2)
print(""TRUE"" if isinstance(eval_result, Some) and eval_result.value else ""FALSE"")

```",,15018
gemini-1.5-flash,few_shot,Only one person was running in the relay race at once.,"x1: x1, x2: x2, x3: x3",H(!(x1 & x2) & !(x2 & x3) & !(x1 & x3)),"```python
formulaToFind = LNot(LOr(LAnd(AtomicProposition(""x1""), AtomicProposition(""x2"")), LOr(LAnd(AtomicProposition(""x1""), AtomicProposition(""x3"")), LAnd(AtomicProposition(""x2""), AtomicProposition(""x3"")))))
```",,7969
gemini-1.5-flash,few_shot,It was previously true that x1 was historically true when x2 and x3 are false.,"x1: x1, x2: x2, x3: x3",O(H(x1 & !x2 & !x3)),"```python
formulaToFind = Yesterday(Historically(LAnd(AtomicProposition(""x2""), AtomicProposition(""x3""))))
```",,7890
gemini-1.5-flash,few_shot,"Whenever x1 was true, x1 was false and x2 was true in the state before; whenever x2 was true, x1 was false and x1 was true in the state before.","x1: x1, x2: x2",H(x1 -> (!x1 & Y(x2))) & H(x2 -> (!x1 & Y(x1))),"```python
formulaToFind = LAnd(LImplies(AtomicProposition(""x1""), LAnd(Yesterday(LNot(AtomicProposition(""x1""))), Yesterday(AtomicProposition(""x2"")))), LImplies(AtomicProposition(""x2""), LAnd(Yesterday(LNot(AtomicProposition(""x1""))), Yesterday(AtomicProposition(""x1"")))))
```",,8110
gemini-1.5-flash,few_shot,"For every state, if x1 was true, then x2 and x3 should be false; if x2 or x3 was true, x1 was false.","x1: x1, x2: x2, x3: x3",H((x1 -> (!x2 & !x3)) & ((x2 | x3) -> !x1)),"```python
formulaToFind = Historically(LImplies(LOr(AtomicProposition(""x2""),AtomicProposition(""x3"")),LNot(AtomicProposition(""x1""))))
```",,7939
gemini-1.5-flash,few_shot,"If x1 was true in the previous step, then x1 will historically previously be true.","x1: x1, x2: x2, x3: x3",H(Y(x1) -> H(O(x1))),"```python
formulaToFind = LImplies(Yesterday(AtomicProposition(name='x1')), Historically(AtomicProposition(name='x1')))
```
",,7909
gemini-1.5-flash,few_shot,"x2 was historically true, whereas x1 was only sometimes true.","x1: x1, x2: x2",H(x2) & O(x1) & H(!x1),"```python
formulaToFind = LAnd(Historically(AtomicProposition(name='x2')), LNot(Historically(AtomicProposition(name='x1'))))
```",,7884
gemini-1.5-flash,few_shot,It was historically the case that x1 happens immediately before x2.,"x1: x1, x2: x2",H(x2 -> Y(x1)),"```python
formulaToFind = Historically(LAnd(AtomicProposition(""x1""), Yesterday(AtomicProposition(""x2""))))
```",,7871
gemini-1.5-flash,few_shot,It historically held that x1 was true since x2 was false and x3 was true.,"x1: x1, x2: x2, x3: x3",H(x1 S (!x2 & x3)),"```python
formulaToFind = Historically(Since(AtomicProposition(""x1""), LAnd(LNot(AtomicProposition(""x2"")), AtomicProposition(""x3""))))
```",,7912
gemini-1.5-flash,few_shot,"x1 will never be true, or it'll keep being true, at least occasionally, has always held.",x1: x1,H(!x1) | H(O(x1)),"```python
formulaToFind = LOr(LNot(Once(AtomicProposition(name='x1'))), Historically(Once(AtomicProposition(name='x1'))))
```",,7900
gemini-1.5-flash,few_shot,x1 was historically true since both x2 and x3 are once true.,"x1: x1, x2: x2, x3: x3",H(x1 S (x2 & x3)),"```python
formulaToFind = Historically(Since(AtomicProposition(""x1""), LAnd(Once(AtomicProposition(""x2"")), Once(AtomicProposition(""x3"")))))
```",,7905
gemini-1.5-flash,few_shot,If x1 was true at the beginning then x2 was true at the end.,"x1: x1, x2: x2",x1 -> O(x2),"```python
from dataclasses import dataclass
from typing import *

class Formula:
    pass

@dataclass
class AtomicProposition(Formula):
    name : str

@dataclass
class Literal(Formula):
    name : str

@dataclass
class LNot(Formula):
    Formula: Formula

@dataclass
class LAnd(Formula):
    left: Formula
    right: Formula

@dataclass
class LOr(Formula):
    left: Formula
    right: Formula

@dataclass
class LImplies(Formula):
    left: Formula
    right: Formula

@dataclass
class LEquiv(Formula):
    left: Formula
    right: Formula    

@dataclass
class Since(Formula):
    a : Formula
    b : Formula

@dataclass
class Once(Formula):
    Formula: Formula

@dataclass
class Historically(Formula):
    Formula: Formula

@dataclass
class Yesterday(Formula):
    Formula: Formula


FormulaType = Union[AtomicProposition, Literal, LNot, LAnd, LOr, LImplies, LEquiv, Since, Once, Historically, Yesterday]    

type varToValMapping = tuple[str, bool]
type state = list[varToValMapping]
type trace = list[state]

class OptionType:
    pass

@dataclass
class ReallyNone(OptionType):
    pass

@dataclass
class Some(OptionType):
    value: bool

myOptionType = Union[ReallyNone, Some]  

def isPropositionTrueInTracePosition(p : AtomicProposition, t: trace, pos: int) -> myOptionType:
    if pos < 0 or pos >= len(t):
        return ReallyNone()
    state_at_pos = t[pos]
    for var, val in state_at_pos:
        if var == p.name:
            return Some(val)
    return ReallyNone()

def evalFormula(f : Formula, t: trace, pos: int) -> myOptionType:
    match f:
        case AtomicProposition(name):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            return isPropositionTrueInTracePosition(f, t, pos)
        case Literal(name):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            if name == ""True"":
                return Some(True)
            elif name == ""False"":
                return Some(False)
            else:
                return ReallyNone()
        case LNot(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            inner_eval = evalFormula(inner, t, pos)
            match inner_eval:
                case Some(val):
                    return Some(not val)
                case ReallyNone():
                    return ReallyNone()
        case LAnd(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some(lval and rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case LOr(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some(lval or rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case LImplies(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some((not lval) or rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case LEquiv(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some(lval == rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case Since(a, b):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            foundB = False
            i = pos
            while i >= 0 :
                eval_result = evalFormula(b, t, i)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and eval_result.value:
                    foundB = True
                    break
                i -= 1
            if not foundB:
                return Some(False)
            j = i + 1
            while j <= pos:  
                eval_result = evalFormula(a, t, j)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and not eval_result.value:
                    return Some(False)
                j += 1      
            return Some(True)    
        case Once(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            for i in range(0, pos+1):
                eval_result = evalFormula(inner, t, i)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and eval_result.value:
                    return Some(True)
            return Some(False)
        case Historically(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            for i in range(0, pos+1):
                eval_result = evalFormula(inner, t, i)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and not eval_result.value:
                    return Some(False)
            return Some(True)
        case Yesterday(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            if pos >= 1:
                return evalFormula(inner, t, pos - 1)
            else:
                return Some(False)
        case _:
            return ReallyNone()

formulaToFind = LImplies(AtomicProposition(""x1""), AtomicProposition(""x2""))
```",,14319
gemini-1.5-flash,few_shot,"When x1 was true, x2 will previously (but not immediately) be true.","x1: x1, x2: x2",H(x1 -> O(Y(x2))),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), Historically(LAnd(AtomicProposition(""x2""), LNot(Yesterday(AtomicProposition(""x2""))))))

```",,7913
gemini-1.5-flash,few_shot,"If (x1 and x2) was previously true, then x1 was false since it was true. Otherwwase, if x2 was previously true, then x1 was also previously true.","x1: x1, x2: x2",H((O(x1 & x2) -> (!x1 S (x1 & x2))) & (O(x2) -> O(x1))),"```python
formulaToFind = LImplies(Yesterday(LAnd(AtomicProposition(""x1""), AtomicProposition(""x2""))), Since(LNot(AtomicProposition(""x1"")), AtomicProposition(""x1"")))
```",,8008
gemini-1.5-flash,few_shot,x1 was historically previously true unless x2 was false and x3's previous state was true.,"x1: x1, x2: x2, x3: x3",H(!(!x2 & Y(x3)) -> O(x1)),"```python
from dataclasses import dataclass
from typing import *

class Formula:
    pass

@dataclass
class AtomicProposition(Formula):
    name : str

@dataclass
class Literal(Formula):
    name : str

@dataclass
class LNot(Formula):
    Formula: Formula

@dataclass
class LAnd(Formula):
    left: Formula
    right: Formula

@dataclass
class LOr(Formula):
    left: Formula
    right: Formula

@dataclass
class LImplies(Formula):
    left: Formula
    right: Formula

@dataclass
class LEquiv(Formula):
    left: Formula
    right: Formula    

@dataclass
class Since(Formula):
    a : Formula
    b : Formula

@dataclass
class Once(Formula):
    Formula: Formula

@dataclass
class Historically(Formula):
    Formula: Formula

@dataclass
class Yesterday(Formula):
    Formula: Formula


FormulaType = Union[AtomicProposition, Literal, LNot, LAnd, LOr, LImplies, LEquiv, Since, Once, Historically, Yesterday]    

type varToValMapping = tuple[str, bool]
type state = list[varToValMapping]
type trace = list[state]

class OptionType:
    pass

@dataclass
class ReallyNone(OptionType):
    pass

@dataclass
class Some(OptionType):
    value: bool

myOptionType = Union[ReallyNone, Some]  

def isPropositionTrueInTracePosition(p : AtomicProposition, t: trace, pos: int) -> myOptionType:
    if pos < 0 or pos >= len(t):
        return ReallyNone()
    state_at_pos = t[pos]
    for var, val in state_at_pos:
        if var == p.name:
            return Some(val)
    return ReallyNone()

def evalFormula(f : Formula, t: trace, pos: int) -> myOptionType:
    match f:
        case AtomicProposition(name):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            return isPropositionTrueInTracePosition(f, t, pos)
        case Literal(name):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            if name == ""True"":
                return Some(True)
            elif name == ""False"":
                return Some(False)
            else:
                return ReallyNone()
        case LNot(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            inner_eval = evalFormula(inner, t, pos)
            match inner_eval:
                case Some(val):
                    return Some(not val)
                case ReallyNone():
                    return ReallyNone()
        case LAnd(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some(lval and rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case LOr(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some(lval or rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case LImplies(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some((not lval) or rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case LEquiv(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some(lval == rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case Since(a, b):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            foundB = False
            i = pos
            while i >= 0 :
                eval_result = evalFormula(b, t, i)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and eval_result.value:
                    foundB = True
                    break
                i -= 1
            if not foundB:
                return Some(False)
            j = i + 1
            while j <= pos:  
                eval_result = evalFormula(a, t, j)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and not eval_result.value:
                    return Some(False)
                j += 1      
            return Some(True)    
        case Once(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            for i in range(0, pos+1):
                eval_result = evalFormula(inner, t, i)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and eval_result.value:
                    return Some(True)
            return Some(False)
        case Historically(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            for i in range(0, pos+1):
                eval_result = evalFormula(inner, t, i)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and not eval_result.value:
                    return Some(False)
            return Some(True)
        case Yesterday(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            if pos >= 1:
                return evalFormula(inner, t, pos - 1)
            else:
                return Some(False)
        case _:
            return ReallyNone()

formulaToFind = Historically(LImplies(AtomicProposition(""x1""), LNot(LAnd(LNot(AtomicProposition(""x2"")), AtomicProposition(""x3"")))))

traceGivenAsInput = [ [(""x1"", True), (""x2"", True), (""x3"", False)], [(""x1"", True), (""x2"", False), (""x3"", True)], [(""x1"", False), (""x2"", True), (""x3"", False)] ]

result = evalFormula(formulaToFind, traceGivenAsInput, 2)

if isinstance(result, Some) and result.value:
    print(""TRUE"")
else:
    print(""FALSE"")

```",,14723
gemini-1.5-flash,few_shot,"It historically held that before x1 was true, x2 will be true. x3 will not be true since both x1 and x2 are true.","x1: x1, x2: x2, x3: x3",H(x1 -> O(x2)) & H(x3 -> (x1 & x2)),"```python
formulaToFind = Historically(LImplies(Yesterday(AtomicProposition(""x1"")), AtomicProposition(""x2"")))
```",,7929
gemini-1.5-flash,few_shot,"If we know that x1 will previously be true, then we know that x2 will be true since x1 was true. Otherwwase, all we know was that x3 was true.","x1: x1, x2: x2, x3: x3",H((O(x1) -> (x2 S x1)) & (!O(x1) -> x3)),"```python
formulaToFind = LImplies(Once(AtomicProposition(""x1"")), Since(AtomicProposition(""x2""), AtomicProposition(""x1"")))
```",,7971
gemini-1.5-flash,few_shot,"Either for every 5th time step x1 and x2 are true, or for every 3rd time step x3 was true.","x1: x1, x2: x2, x3: x3",H((Y(Y(Y(Y(Y(x1 & x2)))))) | (Y(Y(Y(x3))))),"```python
from dataclasses import dataclass
from typing import *

class Formula:
    pass

@dataclass
class AtomicProposition(Formula):
    name : str

@dataclass
class Literal(Formula):
    name : str

@dataclass
class LNot(Formula):
    Formula: Formula

@dataclass
class LAnd(Formula):
    left: Formula
    right: Formula

@dataclass
class LOr(Formula):
    left: Formula
    right: Formula

@dataclass
class LImplies(Formula):
    left: Formula
    right: Formula

@dataclass
class LEquiv(Formula):
    left: Formula
    right: Formula    

@dataclass
class Since(Formula):
    a : Formula
    b : Formula

@dataclass
class Once(Formula):
    Formula: Formula

@dataclass
class Historically(Formula):
    Formula: Formula

@dataclass
class Yesterday(Formula):
    Formula: Formula


FormulaType = Union[AtomicProposition, Literal, LNot, LAnd, LOr, LImplies, LEquiv, Since, Once, Historically, Yesterday]    

type varToValMapping = tuple[str, bool]
type state = list[varToValMapping]
type trace = list[state]

class OptionType:
    pass

@dataclass
class ReallyNone(OptionType):
    pass

@dataclass
class Some(OptionType):
    value: bool

myOptionType = Union[ReallyNone, Some]  

def isPropositionTrueInTracePosition(p : AtomicProposition, t: trace, pos: int) -> myOptionType:
    if pos < 0 or pos >= len(t):
        return ReallyNone()
    state_at_pos = t[pos]
    for var, val in state_at_pos:
        if var == p.name:
            return Some(val)
    return ReallyNone()

def evalFormula(f : Formula, t: trace, pos: int) -> myOptionType:
    match f:
        case AtomicProposition(name):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            return isPropositionTrueInTracePosition(f, t, pos)
        case Literal(name):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            if name == ""True"":
                return Some(True)
            elif name == ""False"":
                return Some(False)
            else:
                return ReallyNone()
        case LNot(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            inner_eval = evalFormula(inner, t, pos)
            match inner_eval:
                case Some(val):
                    return Some(not val)
                case ReallyNone():
                    return ReallyNone()
        case LAnd(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some(lval and rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case LOr(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some(lval or rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case LImplies(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some((not lval) or rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case LEquiv(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some(lval == rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case Since(a, b):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            foundB = False
            i = pos
            while i >= 0 :
                eval_result = evalFormula(b, t, i)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and eval_result.value:
                    foundB = True
                    break
                i -= 1
            if not foundB:
                return Some(False)
            j = i + 1
            while j <= pos:  
                eval_result = evalFormula(a, t, j)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and not eval_result.value:
                    return Some(False)
                j += 1      
            return Some(True)    
        case Once(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            for i in range(0, pos+1):
                eval_result = evalFormula(inner, t, i)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and eval_result.value:
                    return Some(True)
            return Some(False)
        case Historically(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            for i in range(0, pos+1):
                eval_result = evalFormula(inner, t, i)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and not eval_result.value:
                    return Some(False)
            return Some(True)
        case Yesterday(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            if pos >= 1:
                return evalFormula(inner, t, pos - 1)
            else:
                return Some(False)
        case _:
            return ReallyNone()

formulaToFind = LOr(Historically(LAnd(AtomicProposition(""x1""), AtomicProposition(""x2""))), Historically(AtomicProposition(""x3"")))
```",,14411
