Natural Language,Ground Truth,claude-3.5-sonnet_few_shot,claude-3.5-sonnet_zero_shot,claude-3.5-sonnet_zero_shot_self_refine,gemini-1.5-flash_few_shot,gemini-1.5-flash_zero_shot,gemini-1.5-flash_zero_shot_self_refine,gemini-1.5-pro_few_shot,gemini-1.5-pro_zero_shot,gemini-1.5-pro_zero_shot_self_refine,gemini-2.5-flash_few_shot,gemini-2.5-flash_zero_shot,gemini-2.5-flash_zero_shot_self_refine
If Claire gave Folly to Max at 2:03 then Folly belonged to her at 2:00 and to him at 2:05.,x2 -> (x1 & x3),(x2 -> (x1 & x3)),(x2 -> (x1 & x3)),(x2 -> (x1 & x3)),(x2 -> (x1 & x3)),(x2 -> (x1 & x3)),(x2 -> (x1 & x3)),(x2 -> (x1 & X(X(X(x3))))),Error: Could not extract formula from response,(x2 -> (x1 & x3)),(X(X(X(x2))) -> (X(X(x1)) & X(X(X(X(X(x3))))))),(x2 -> (x1 & x3)),(X(X(X(x2))) -> (x1 & X(X(X(X(X(x3)))))))
"If neither Max nor Claire fed Folly at 2:00, then she was hungry.",(!x1 & !x2) -> x3,(!((x1 | x2)) -> x3),(!((x1 | x2)) -> x3),(!((x1 | x2)) -> x3),(!((x1 | x2)) -> x3),(!((x1 | x2)) -> x3),((!(x1) & !(x2)) -> x3),((!(x1) & !(x2)) -> x3),((!(x1) & !(x2)) -> x3),((!(x1) & !(x2)) -> x3),((!(x1) & !(x2)) -> x3),((!(x1) & !(x2)) -> x3),(!((x1 | x2)) -> x3)
Max is a student if and only if Claire is not.,x1 <-> !x2,(x1 <-> !(x2)),(x1 <-> !(x2)),(x1 <-> !(x2)),(x1 <-> !(x2)),(x1 <-> !(x2)),(x1 <-> !(x2)),(x1 <-> !(x2)),(x1 <-> !(x2)),(x1 <-> !(x2)),(x1 <-> !(x2)),(x1 <-> !(x2)),(x1 <-> !(x2))
Max was angry at 2:05 only if Claire fed either Folly or Scruffy five minutes before.,x1 -> (x2 | x3),(x1 -> (x2 | x3)),(x1 -> (x2 | x3)),(x1 -> Y((x2 | x3))),(x1 -> (x2 | x3)),(x1 -> (x2 | x3)),(x1 -> (x2 | x3)),(x1 -> Y((x2 | x3))),(x1 -> Y((x2 | x3))),(x1 -> Y((x2 | x3))),(x1 -> Y((x2 | x3))),(x1 -> Y(Y(Y(Y(Y((x2 | x3))))))),(x1 -> Y((x2 | x3)))
France will sign the treaty only if Germany does.,x1 -> x2,(x1 -> x2),(x1 -> x2),(x1 -> x2),(F(x1) -> F(x2)),(F(x1) -> F(x2)),(F(x1) -> F(x2)),(x1 -> x2),(x1 -> x2),(x1 -> x2),(F(x1) -> F(x2)),(x1 -> x2),(x1 -> x2)
"If you scratch my back, I’ll scratch yours.",x1 -> x2,G((x1 -> F(x2))),G((x1 -> F(x2))),G((x1 -> F(x2))),(x1 -> x2),(x1 -> x2),(x1 -> x2),G((x1 -> F(x2))),G((x1 -> F(x2))),(x1 <-> x2),G((x1 -> F(x2))),(x1 -> F(x2)),G((x1 -> F(x2)))
"If Abe can fool Stephen, surely he can fool Ulysses.",x1 -> x2,(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> G(x2)),G((x1 -> F(x2))),G((x1 -> x2))
"If Tweedledee gets a party, so will Tweedledum, and vice versa.",x1 <-> x2,(x1 <-> x2),(x1 <-> x2),(x1 <-> x2),(F(x1) <-> F(x2)),(F(x1) <-> F(x2)),(F(x1) <-> F(x2)),(x1 <-> x2),(x1 <-> x2),(x1 <-> x2),(x1 <-> x2),(x1 <-> x2),(x1 <-> x2)
"If John and Mary went to the concert together, they must like each other",x1 -> x2,G((x1 -> x2)),G((x1 -> x2)),G((x1 -> x2)),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),G((x1 -> x2)),(x1 -> x2),(x1 -> x2)
You can have dessert only if you eat all your lima beans,x2 -> x1,(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2)
"The unicorn, if it is not mythical, is a mammal, but if it is mythical, it is immortal.",(!x1 -> x2) & (x1 -> x3),((!(x1) -> x2) & (x1 -> x3)),((!(x1) -> x2) & (x1 -> x3)),((!(x1) -> x2) & (x1 -> x3)),(!(x1) -> (x2 & (x1 -> x3))),(!(x1) -> (x2 & (x1 -> x3))),(!(x1) -> (x2 & (x1 -> x3))),(!(x1) -> x2),(!(x1) -> x2),(!(x1) -> x2),((!(x1) -> x2) & (x1 -> x3)),((!(x1) -> x2) & (x1 -> x3)),((!(x1) -> x2) & (x1 -> x3))
"If the unicorn is either immortal or a mammal, it is horned.",(x1 | x2) -> x3,((x1 | x2) -> x3),((x1 | x2) -> x3),((x1 | x2) -> x3),((x1 | x2) -> x3),((x1 | x2) -> x3),((x1 | x2) -> x3),((x1 | x2) -> x3),((x1 | x2) -> x3),((x1 | x2) -> x3),((x1 | x2) -> x3),((x1 | x2) -> x3),((x1 | x2) -> x3)
"The unicorn, if horned, is elusive and magical, but if not horned, it is neither.",(x1 -> (x2 & x3)) & (!x1 -> !x2 & !x3),((x1 -> (x2 & x3)) & (!(x1) -> (!(x2) & !(x3)))),Error: Could not extract formula from response,((x1 -> (x2 & x3)) & (!(x1) -> !((x2 & x3)))),(x1 -> (x2 & x3)),(x1 -> (x2 & x3)),(x1 -> (x2 & x3)),Error: Could not extract formula from response,Error: Could not extract formula from response,Error: Could not extract formula from response,((x1 -> (x2 & x3)) & (!(x1) -> (!(x2) & !(x3)))),(x1 <-> (x2 & x3)),((x1 -> (x2 & x3)) & (!(x1) -> (!(x2) & !(x3))))
"If the unicorn is not horned, it is not mythical.",!x1 -> !x2,(!(x1) -> !(x2)),(!(x1) -> !(x2)),(!(x1) -> !(x2)),(!(x1) -> !(x2)),(!(x1) -> !(x2)),(!(x1) -> !(x2)),(!(x1) -> !(x2)),(!(x1) -> !(x2)),(!(x1) -> !(x2)),(!(x1) -> !(x2)),(!(x1) -> !(x2)),(!(x1) -> !(x2))
The unicorn is horned if and only if magical or mythical.,x1 <-> (x2 | x3),(x1 <-> (x2 | x3)),(x1 <-> (x2 | x3)),(x1 <-> (x2 | x3)),(x1 <-> (x2 | x3)),(x1 <-> (x2 | x3)),(x1 <-> (x2 | x3)),(x1 <-> (x2 | x3)),(x1 <-> (x2 | x3)),(x1 <-> (x2 | x3)),(x1 <-> (x2 | x3)),(x1 <-> (x2 | x3)),(x1 <-> (x2 | x3))
"It is not necessary—no, nor so much as convenient—that the legislative should be always in being; but absolutely necessary that the executive power should, because there is not always need of new laws to be made, but always need of execution of the laws that are made.",(!G x1) & (G x2) & (!G x3) ∧ (G x4),Error: Could not extract formula from response,((!(G(x1)) & G(x2)) & (!(G(x3)) & G(x4))),((!(G(x1)) & G(x2)) & (!(G(x3)) & G(x4))),(!(G(x1)) & G(x2)),(!(G(x1)) & G(x2)),(!(G(x1)) & (G(x2) & (!(G(x3)) & G(x4)))),!(G(x1)),!((G(x1) & G(x2))),!(G(x1)),(!(G(x1)) & (G(x2) & (!(G(x3)) & G(x4)))),(!(G(x1)) & (G(x2) & (!(G(x3)) & G(x4)))),(!(G(x1)) & ((!(G(x3)) & G(x4)) -> G(x2)))
